fullname,Papers,Cites,H-Index,HM-Index,First,Last
William P. Butz,2,116,2,2,1983,1985
Roy E. Jones,2,28,2,2,1976,1980
Kenneth Alan Bollen,2,137,2,2,2002,2007
Massimo Livi-Bacci,2,13,2,2,1974,2015
James W. Wood,2,64,2,2,1988,1990
Hilary Page,2,30,2,2,2001,2008
Andres Vikat,2,87,2,2,1999,2007
W. D. Borrie,2,21,2,2,1957,1959
Wang Feng,2,111,2,2,1994,1995
Elyse A. Jennings,2,10,2,2,2016,2017
I. O. Orubuloye,2,115,2,2,1975,1992
Patricia A. Watterson,2,208,2,2,1988,1989
Chris Galley,2,82,2,2,1995,2001
Emily M. Agree,2,54,2,2,2005,2010
Jiajian Chen,2,48,2,2,2007,2010
Trude Lappegård,2,122,2,2,2010,2012
Brienna Perelli-Harris,2,148,2,2,2005,2012
Calvin Goldscheider,2,51,2,2,1978,1979
Marika Jalovaara,2,110,2,2,2001,2012
N. J. Ireland,2,12,2,2,1975,1976
James A. Palmore,2,32,2,2,1982,1986
Thomas Schindlmayr,2,121,2,2,2003,2004
Ron J. Lesthaeghe,2,54,2,2,1971,1980
Anna Matysiak,2,67,2,2,2009,2014
Caroline Berghammer,2,117,2,2,2012,2012
C. Shannon Stokes,2,21,2,2,1973,1986
Francis Nii Amoo Dodoo,2,145,2,2,2001,2002
Jennifer A. Holland,2,21,2,2,2011,2017
N. Krishnan Namboodiri,2,14,2,2,1970,1972
Gary H. McClelland,2,74,2,2,1975,1975
Douglas C. Ewbank,2,56,2,2,1982,1983
B. Benjamin,2,10,2,2,1955,1958
Hannes Hyrenius,3,17,2,2,1949,1958
Robert Schoen,3,29,3,2,1984,2005
Francesco Scalone,3,41,3,2,2014,2017
Ralph R. Sell,4,27,2,2,1977,1978
Alan Gray,3,37,2,2,1986,1989
Mohamed Mahmoud Ali,3,45,2,2,2003,2007
Harvey Leibenstein,3,16,2,2,1969,1971
Samarendranath Mitra,4,11,2,2,1980,1987
D. Peter Mazur,4,11,2,2,1972,1975
Frans J.C. Willekens,4,50,3,2,1982,2017
Louis Henry,3,18,2,2,1964,1980
Ronald R. Rindfuss,4,51,4,2,1984,2012
S. A. Meegama,4,34,2,2,1967,1979
David Yaukey,4,29,3,2,1965,1979
Philip C. Sagi,3,34,3,2,1961,1962
H. Gille,4,48,2,2,1948,1952
Rebecca Sear,3,25,2,2,2015,2019
Alice Reid,3,76,3,2,2001,2020
Magali Barbieri,2,68,2,2,1996,2008
Geraldine P. Mineau,2,71,2,2,1979,1986
Carine Ronsmans,2,132,2,2,1995,2006
Mark H. Skolnick,2,68,2,2,1978,1979
Abbas Uddin Bhuiya,2,77,2,2,1991,1997
Gilles Pison,2,43,2,2,1985,2014
R. W. Hiorns,3,74,3,2,1999,2002
Mikko Myrskylä,6,48,4,2,2014,2020
Christophe Z. Guilmoto,4,59,2,2,1998,2020
Cicely Watson,6,16,2,2,1952,1954
Denis Peter Mazur,3,16,2,2,1967,1975
Gareth Jones,3,45,2,2,2003,2007
Avraham Y. Ebenstein,3,29,3,2,2013,2015
Evert van Imhoff,3,58,3,2,1992,1997
Dirk J. van de Kaa,4,186,4,2,1991,2013
Martin Dribe,4,91,3,2,2004,2020
Christopher Tietze,3,10,3,2,1955,1962
Philippe Fargues,3,25,2,2,1979,1990
Georgia Verropoulou,3,44,2,2,2010,2019
S. M. Farid,3,16,2,2,1973,1976
Bernard Berelson,3,31,3,2,1971,1980
