fullname,Papers,Cites,H-Index,HM-Index,First,Last
Antonia Polychronopoulou,1,9,1,1,1965,1965
Althea Hill,1,1,1,1,1975,1975
Dudley Seers,1,3,1,1,1957,1957
Julia Dayton,1,57,1,1,2005,2005
Prithwls Das Gupta,1,6,1,1,1978,1978
Sui Ying Wat,1,5,1,1,1972,1972
John D. Buissink,1,17,1,1,1971,1971
R. Thompson,1,14,1,1,1974,1974
Robert Horválth,1,2,1,1,1963,1963
Goh Thuan-Jig,1,5,1,1,1972,1972
Steven Polgar,1,4,1,1,1974,1974
M. Françoise Hall,1,4,1,1,1973,1973
James E. Smith,1,28,1,1,1976,1976
Bram Peper,1,10,1,1,1970,1970
Janet Sceats Pool,1,3,1,1,1978,1978
P. R. Cox,1,2,1,1,1951,1951
Jed Friedman,1,52,1,1,2000,2000
Linda Meyers,1,45,1,1,1985,1985
B. Midi Berry,1,47,1,1,1971,1971
Pēteris Zvidriņš,1,1,1,1,1979,1979
Atiqur Rahman Khan,1,31,1,1,1976,1976
Helena Chojnackm,1,24,1,1,1980,1980
Edward B. Perrin,1,13,1,1,1964,1964
R. T. Appleyard,1,10,1,1,1962,1962
G. W. Roberts,1,7,1,1,1954,1954
G. W. Roberts,1,10,1,1,1952,1952
François Nault,1,32,1,1,1990,1990
Serhii Pyrozhkov,1,25,1,1,2002,2002
Ismail Ajami,1,10,1,1,1976,1976
Jeremy Y. Slack,1,5,1,0,2017,2017
Grzegorz Frumkin,1,0,0,0,1950,1950
David Musoke Serwadda,1,0,0,0,2020,2020
Stefan Szulc,1,0,0,0,1950,1950
D. V R Murty,1,1,1,0,1971,1971
Carl Erik Quensel,1,0,0,0,1947,1947
Clara H. Mulder,1,1,1,0,2020,2020
Piera Bello,1,0,0,0,2020,2020
Emma Slaymaker,1,0,0,0,2020,2020
P. J. Loftus,1,0,0,0,1948,1948
C. H. Harvie,1,0,0,0,1950,1950
Joop A.A. De Beer,1,0,0,0,2020,2020
B. A. Tan,1,0,0,0,1978,1978
T. van den Brink,1,0,0,0,1950,1950
Leo Driedger,1,1,1,0,1997,1997
Per Ramholt,1,0,0,0,1953,1953
W. S. Hocking,1,0,0,0,1958,1958
Alissa Goodman,1,1,1,0,2020,2020
C. A L Mybuegh,1,1,1,0,1951,1951
Ronald Henry Gray,1,0,0,0,2020,2020
H. Bond,1,0,0,0,1978,1978
Dan A. Black,1,0,0,0,2017,2017
G. F. de Long,2,0,0,0,1978,1978
S. S. Žarković,1,0,0,0,1956,1956
Francesco Grippo,1,0,0,0,2020,2020
Lowell J. Taylor,1,0,0,0,2017,2017
Kathryn A. Risher,1,0,0,0,2020,2020
V. Muhsam,1,0,0,0,1975,1975
J. Dupâquier,1,0,0,0,1992,1992
John A. Ross,1,1,1,0,1966,1966
John Maynard-Smith,1,2,1,0,1970,1970
Caroline Moreau,1,1,1,0,2019,2019
J. M. MacKintosh,1,0,0,0,1964,1964
Cyril John Adcock,1,0,0,0,1951,1951
S. Guha Roy,1,1,1,0,1976,1976
David J. Sharrow,1,1,1,0,2018,2018
J. A. Stallworthy,1,0,0,0,1970,1970
H. L. Robinson,1,0,0,0,1949,1949
E. Grebenik,1,0,0,0,1996,1996
Miguel Requena,2,6,1,0,2018,2020
Karol J. Krótki,2,3,1,0,1971,1978
Gerald I.M. Swyer,2,3,1,0,1970,1970
Harvey Marshal,1,0,0,0,1979,1979
John C. Rumford,1,1,1,0,1979,1979
Harsha N. Thakur,1,1,1,0,1971,1971
Yu Chieh Hsu,1,0,0,0,2017,2017
Benoît Laplante,1,1,1,0,2018,2018
Livia Sz Oláh,1,0,0,0,2020,2020
Marco Le Moglie,1,1,1,0,2020,2020
Patrick Sabourin,1,1,1,0,2018,2018
Benedetta Pongiglione,1,1,1,0,2020,2020
Siegfried Gruber,1,0,0,0,2020,2020
John M. Thoday,1,2,1,0,1970,1970
Godfrey G. Kigozi,1,0,0,0,2020,2020
Seth G. Sanders,1,0,0,0,2017,2017
Robert John Norman,1,0,0,0,2020,2020
J. E. Meade,2,2,1,0,1970,1970
Martha E. Smith,1,1,1,0,1970,1970
John Cleland,2,0,0,0,2020,2020
Jane T. Bertrand,1,2,1,0,1983,1983
Carl F. Grindstafe,1,1,1,0,1973,1973
Zhiqiang Feng,1,4,1,0,2018,2018
Robert G. Potter,1,0,0,0,1966,1966
Wilfred Perks,1,0,0,0,1952,1952
Roderic P. Beau Jot,1,2,1,0,1978,1978
Ashton M. Verdery,1,0,0,0,2020,2020
A. Lewis,1,0,0,0,1970,1970
Galina V. Selegen,2,0,0,0,1959,1960
Yoshio Koya,2,0,0,0,1959,1962
A. J. Boreham,1,0,0,0,1970,1970
N. F. Morris,1,3,1,0,1970,1970
Samuel Greene,1,1,1,0,1979,1979
C. M. Stewart,1,0,0,0,1963,1963
P. J. Grandstaff,1,0,0,0,1972,1972
Wendy Sigle,2,1,1,0,2018,2019
Edith L. Adams,1,0,0,0,1950,1950
Prescott L. Vandervoet,1,5,1,0,2017,2017
D. Pyke,1,0,0,0,1970,1970
Miatudila Malonga,1,2,1,0,1983,1983
R. G. Edwards,1,3,1,0,1970,1970
Michael K. Roof,1,0,0,0,1960,1960
Liliana Andriano,1,0,0,0,2020,2020
Jan Walter De Neve,1,0,0,0,2020,2020
Romola Jane Davenport,1,0,0,0,2020,2020
Sven Drefahl,1,1,1,0,2020,2020
T. Fox,1,0,0,0,1970,1970
Peter M. Blau,1,0,0,0,1962,1962
Aline Désesquelles,1,0,0,0,2020,2020
John Giles,1,0,0,0,2020,2020
Kodjo Morgah,1,1,1,0,2011,2011
,1,0,0,0,2012,2012
George Basil Ploubidis,1,1,1,0,2020,2020
,1,0,0,0,2012,2012
Samuel Vézina,1,1,1,0,2018,2018
Jack Harewood,1,0,0,0,1973,1973
Christie A. Sennott,1,1,1,0,2020,2020
J. A. Fraser Roberts,1,2,1,0,1970,1970
Christine A. Kelly,1,3,1,0,2020,2020
Assa Doumbia Gakou,1,0,0,0,2020,2020
Tomáš Sobotka,1,6,1,0,2018,2018
Felix M. Muchomba,1,0,0,0,2020,2020
Chodziwadziwa Whiteson Kabudula,1,0,0,0,2020,2020
Marianne Tønnessen,1,0,0,0,2020,2020
Luisa Frova,1,0,0,0,2020,2020
Nelson K. Sewankambo,1,0,0,0,2020,2020
Esha Chatterjee,1,1,1,0,2020,2020
Angélique A.P.O. Janssens,1,4,1,0,2020,2020
A. S. Clague,1,0,0,0,1979,1979
Kees Mandemakers,1,4,1,0,2020,2020
Susannah E. Gibbs,1,1,1,0,2019,2019
Beryl Unterhalter,1,0,0,0,1961,1961
Hans Harmsen,1,0,0,0,1950,1950
N. W. Pirie,1,3,1,0,1970,1970
L. Henry,1,0,0,0,1968,1968
Berenike Thoma,1,0,0,0,2020,2020
Emmanuel F. Souza,1,0,0,0,2020,2020
Jeffrey William Eaton,1,0,0,0,2020,2020
Olufunke A. Fayehun,1,0,0,0,2020,2020
Abigail Weitzman,1,1,1,0,2020,2020
W. D.M. Paton,1,3,1,0,1970,1970
Vincenzo Galasso,1,0,0,0,2020,2020
Mikołaj Szołtysek,1,0,0,0,2020,2020
T. V. Sekher,1,0,0,0,2020,2020
Priyanka Dixit,1,0,0,0,2020,2020
Jean J. Medawar,1,0,0,0,1970,1970
D. L. Gore,1,1,1,0,2010,2010
Tom Lutalo,1,0,0,0,2020,2020
J. Clare Ridley,1,0,0,0,1979,1979
Dorothy Fernandez,1,0,0,0,1978,1978
Olutobi Adekunle Sanuade,1,0,0,0,2020,2020
Dawn Everington,1,4,1,0,2018,2018
Sylvia Blom,1,0,0,0,2020,2020
Andrés Salazar-Arango,1,2,1,0,2017,2017
Md Juel Rana,1,0,0,0,2020,2020
Catalina Torres,1,2,1,0,2019,2019
Anthony Idowu Ajayi,1,0,0,0,2020,2020
Christopher D. Smith,1,0,0,0,2020,2020
Niels van den Berg,1,4,1,0,2020,2020
Joanna Marczak,1,1,1,0,2018,2018
Bartosz Ogórek,1,0,0,0,2020,2020
Colin Clark,1,0,0,0,1951,1951
J. B. Chassan,1,0,0,0,1949,1949
Roberto Bachi,1,0,0,0,1950,1950
Cem Mete,1,0,0,0,2020,2020
Uche C. Isiugo-Abanihe,1,0,0,0,2020,2020
Nikkil Sudharsanan,1,0,0,0,2020,2020
Fred Kakaire Nalugoda,1,0,0,0,2020,2020
C. J. Martin,1,0,0,0,1954,1954
Jessica Godwin,1,1,1,0,2018,2018
Yan Yu,1,0,0,0,2018,2018
Morag Henderson,1,0,0,0,2019,2019
Shiras Manning,1,5,1,0,2017,2017
Jean Paul Sardon,1,0,0,0,2005,2005
Lívia Murinkó,1,0,0,0,2020,2020
Arnstein Aassve,1,1,1,0,2020,2020
Per Tynelius,1,2,1,0,2019,2019
William Joe,1,0,0,0,2020,2020
Viviana Egidi,1,0,0,0,2020,2020
Rachel Stuchbury,1,0,0,0,2019,2019
Ilya Kashnitsky,1,0,0,0,2020,2020
Melissa Burham,1,5,1,0,2017,2017
Montserrat Gas-Aixendri,1,2,1,0,2017,2017
Leo J.G. van Wissen,1,0,0,0,2020,2020
Pascaline Feuillet,1,0,0,0,2020,2020
R. Hakkert,1,0,0,0,1981,1981
Paúl Corcuera,1,2,1,0,2017,2017
Kristen Valencia,1,5,1,0,2017,2017
Lorenzo Gamboa,1,5,1,0,2017,2017
Kristin Klingman,1,5,1,0,2017,2017
Kylie Walzak,1,5,1,0,2017,2017
Paola Molina,1,5,1,0,2017,2017
Leigh Matthew William Shaw-Taylor,1,0,0,0,2020,2020
Joseph V. Hackman,1,1,1,0,2019,2019
Sangeeta Chatterji,1,0,0,0,2020,2020
Purushottam M. Kulkarni,1,1,1,0,2020,2020
Leena Adnan Merdad,1,0,0,0,2016,2016
Aurélien Dasré,1,0,0,0,2020,2020
Erland Hofsten,1,0,0,0,1971,1971
Laurent Bossavie,1,0,0,0,2020,2020
Terje Skjerpen,1,0,0,0,2020,2020
Kuriath S. James,1,0,0,0,2020,2020
J. B D Derksen,1,0,0,0,1948,1948
Yasamin Y. Kusunoki,1,1,1,0,2019,2019
Dorean Nabukalu,1,0,0,0,2020,2020
Alexandria Drake,1,1,1,0,2019,2019
Zengyi Huang,1,4,1,0,2018,2018
Omar Karlsson,1,0,0,0,2020,2020
Kanako Ishida,1,1,1,0,2011,2011
Annemarie Ernsten,1,4,1,0,2018,2018
R. Chander,1,0,0,0,1978,1978
Howard B. Newcombe,1,1,1,0,1970,1970
Andrea Monti,1,1,1,0,2020,2020
Harold C. Alderman,1,0,0,0,2020,2020
Giulia Ferrari,1,0,0,0,2019,2019
Max Lacroix,1,0,0,0,1950,1950
P. Krishnan,1,2,1,0,1978,1978
Brian Joseph Gillespie,1,1,1,0,2020,2020
G. Barclay,1,1,1,0,1950,1950
N. L. Aziz,1,0,0,0,1978,1978
Rachel Margolis,1,0,0,0,2020,2020
Stephen Jivraj,1,1,1,0,2020,2020
Ross MacMillan,1,0,0,0,2019,2019
Fengqing Chao,1,1,1,0,2020,2020
H. S. Booker,1,0,0,0,1949,1949
Maria J. Wawer,1,0,0,0,2020,2020
Barbara Vaughan,1,1,1,0,1996,1996
R. D. Harding,1,0,0,0,1948,1948
Leif Johansen,1,0,0,0,1957,1957
Daniel J. Hruschka,1,1,1,0,2019,2019
Eleonora Mussino,1,1,1,0,2020,2020
William Ledger,1,0,0,0,2020,2020
Reynaldo G. Rivera,1,2,1,0,2017,2017
Anneli Ivarsson,1,0,0,0,2020,2020
C. Stern,1,0,0,0,1954,1954
Anna Maria Eurenius,1,0,0,0,2020,2020
Collin F. Payne,1,1,1,0,2019,2019
Bernard D. Karpinos,1,0,0,0,1949,1949
A. R. Emerson,1,2,1,0,1959,1959
Cecil Gordon,1,2,1,0,1959,1959
Olivia Samuel,1,0,0,0,2020,2020
Kathleen Broussard,1,1,1,0,2020,2020
Letizia Mencarini,1,1,1,0,2020,2020
Pieternella Eline Slagboom,1,4,1,0,2020,2020
David McCollum,1,4,1,0,2018,2018
William E. Bertrand,1,2,1,0,1983,1983
Erica Soler-Hampejsek,1,3,1,0,2020,2020
Kraig Beyerlein,1,5,1,0,2017,2017
Marilena Pappagallo,1,0,0,0,2020,2020
Elliot G. Mishler,1,2,1,0,1956,1956
Marcy Erskine,1,1,1,0,2011,2011
Sankaran Venkata Subramanian,1,0,0,0,2020,2020
Isabel Pike,1,1,1,0,2019,2019
Georgina M. Chambers,1,0,0,0,2020,2020
T. Lynn Smith,1,0,0,0,1958,1958
Fredrick Edward Makumbi,1,0,0,0,2020,2020
Samuel Kwesi Gaisie,1,0,0,0,1969,1969
Ajit Das Gupta,1,1,1,0,1976,1976
Julia Hellstrand,1,1,1,0,2020,2020
Wallis Taylor,1,0,0,0,1955,1955
Emma Zang,1,0,0,0,2019,2019
D. S. Pugh,1,2,1,0,1959,1959
J. Learning,1,0,0,0,2008,2008
Elizabeth A. Colantuoni,1,1,1,0,2019,2019
Mark Gortfelder,1,0,0,0,2020,2020
Steven James Reynolds,1,0,0,0,2020,2020
Martin Klesment,1,6,1,0,2018,2018
Julia Andrea Behrman,1,0,0,0,2020,2020
Michael J. Thomas,1,1,1,0,2020,2020
Sarah E. Patterson,1,0,0,0,2020,2020
Paul C. Hewett,1,3,1,0,2020,2020
W. Seltzer,1,0,0,0,2008,2008
Yanjun He,1,1,1,0,2018,2018
J. Planelles,1,2,1,0,2012,2012
Peter S.K. Chi,1,2,1,0,1972,1972
J. A. Hernández,1,2,1,0,2012,2012
Qing Guan,1,0,0,0,2020,2020
Rick J. Mourits,1,4,1,0,2020,2020
Daniel E. Martínez,1,5,1,0,2017,2017
J. Timothy Johnson,1,0,0,0,1978,1978
Léon Tabah,1,0,0,0,1991,1991
G. A. Harrison,1,2,1,0,1970,1970
