fullname,Papers,Cites,H-Index,First,Last
Charles Wick Warren,2,25,2,1988,1992
Y. C. Yu,2,9,2,1978,1979
R. Sauer,2,77,2,1974,1978
D. I. Pool,2,4,2,1967,1973
Abdelmegid M. Farrag,2,15,2,1959,1964
Peter Anthony Lachenbruch,2,25,2,1967,1968
Paola DiGiulio,1,27,1,2010,2010
Emma Lundholm,1,10,1,2018,2018
Robert H. Cassen,1,59,1,2003,2003
H. Yuan Tien,1,4,1,1970,1970
Napaporn Havanon,1,6,1,1992,1992
Angela Reynar,1,49,1,1998,1998
Michele Gragnolati,1,8,1,1999,1999
Henry S. Shryock,1,2,1,1950,1950
Lena Edlund,1,5,1,2015,2015
Michaela Kreyenfeld,1,95,1,2012,2012
Samson W. Wasao,1,14,1,1996,1996
Jochen Fleischhacker,1,7,1,2002,2002
Tom Zhuwau,1,57,1,1999,1999
Godwin A. Udofia,1,6,1,1979,1979
Flávia Cristina,1,42,1,2004,2004
Lee E. Edlefsen,1,5,1,1981,1981
Jane E. Vander Haar,1,27,1,1993,1993
Ole Jørgen Benedictow,1,24,1,1987,1987
Dirgha J. Ghimire,1,14,1,2012,2012
Donna B. Sulak,1,3,1,1988,1988
Pedro Luis Iriso-Napal,1,17,1,1989,1989
Fernando González-Quinones,1,23,1,2003,2003
Ian M. Timaæus,1,23,1,2004,2004
Baron L. Moots,1,34,1,1978,1978
Jesús Javier Sánchez Barricarte,1,4,1,2017,2017
Alan R. Sweezy,1,15,1,1971,1971
Gugulethu Gule,1,14,1,1992,1992
Nicola Terceira,1,44,1,2003,2003
Karla Oosterveen,1,39,1,1973,1973
Ma Linmao,1,24,1,2000,2000
Arild Saether,1,2,1,1993,1993
Ephraim Hlophe,1,14,1,1992,1992
Lilach Lion Elmakias,1,24,1,2002,2002
S. Ryan Johansson,1,59,1,1987,1987
Thomas K. LeGrand,1,36,1,1996,1996
Romana Peronaci,1,28,1,2000,2000
V. Heuchel,1,85,1,1980,1980
Arjan Gjonça,1,20,1,2001,2001
Kirsty McNay,1,59,1,2003,2003
Suzana Cavenaghi,1,11,1,2013,2013
Fred M.M. Lewes,1,4,1,1984,1984
P. O. Olusanya,1,10,1,1969,1969
R. Kanbargi,1,7,1,1984,1984
Virginia Garrard-Burnett,1,19,1,2008,2008
Khuat Thi Hai Oanh,1,14,1,2009,2009
Charles E. Nobbe,1,14,1,1974,1974
Michel P.A. Cayemittes,1,6,1,1991,1991
Simona Korenjak-Černe,1,7,1,2015,2015
Cornelius Y. Debpuur,1,52,1,2006,2006
Marit Rönsen,1,27,1,2010,2010
Ian M. Tamæus,1,54,1,2003,2003
Thayer Scudder,1,45,1,1995,1995
J. C. Gomez de Leon,1,48,1,1983,1983
B. A. Lagger,1,3,1,2001,2001
Serguei Adamets,1,25,1,2002,2002
Tara Kanitkar,1,4,1,1974,1974
Riad B. Tabbarah,1,4,1,1964,1964
Hélène Vézina,1,18,1,2017,2017
Birgitta Bucht,1,8,1,1986,1986
Parfait M. Eloundou-Enyegue,1,11,1,2003,2003
Harriet Birungi,1,18,1,2010,2010
David J. Loschky,1,3,1,1976,1976
Guillaume J. Wunsch,1,5,1,1976,1976
D. Guz,1,19,1,1991,1991
Quincy Thomas Stewart,1,66,1,1999,1999
Wim F. Wertheim,1,6,1,1959,1959
Sara Peracca,1,37,1,1999,1999
Peter Streble,1,58,1,1987,1987
Porntip Sriwatcharin,1,37,1,1999,1999
Hamed Abou-Gamrah,1,1,1,1976,1976
Natalie Kyriazis,1,4,1,1982,1982
Amandine Cournil,1,17,1,2006,2006
Tineke Fokkema,1,51,1,2005,2005
Zenas M. Sykes,1,12,1,1980,1980
Franklin F. Mendels,1,10,1,1978,1978
E. Ben-Moshe,1,13,1,1985,1985
J. A. Fraser Roberts,1,2,1,1970,1970
L. W. St John-Jones,1,2,1,1979,1979
Anne Emmanuèle Calvès,1,29,1,1999,1999
Harri Siiskonen,1,13,1,2000,2000
Francis C. Madigan,1,6,1,1976,1976
Sugiyama Iutaka,1,10,1,1971,1971
Britta Hoem,1,92,1,1989,1989
Ted A. Telford,1,19,1,1992,1992
Allan N. Sharlin,1,3,1,1978,1978
Eric de Cooman,1,38,1,1987,1987
Alberto Sanz-Gimeno,1,11,1,2000,2000
Srinivasa Ambirajan,1,29,1,1976,1976
Ariela Keysar,1,13,1,1985,1985
Tom O. Owuor,1,10,1,2001,2001
B. W. Higman,1,28,1,1973,1973
John Ssekamatte-Ssebuliba,1,24,1,2005,2005
Caroline W. Kabiru,1,15,1,2017,2017
Peter Skol̈d,1,16,1,1996,1996
