fullname,Papers,Cites,H-Index,First,Last
Victoria A. Velkoff,1,27,1,1995,1995
Paola DiGiulio,1,27,1,2010,2010
Jane E. Vander Haar,1,27,1,1993,1993
Alessandra De Rose,1,27,1,2010,2010
Baai Shyun Hurng,1,27,1,2011,2011
J. David Hacker,1,27,1,2014,2014
Christine Couet,1,27,1,2010,2010
Michael S. Teitelbaum,2,27,2,1974,2015
Mie Inoue,1,26,1,2012,2012
Sören Edvinsson,1,26,1,2005,2005
Sigismund Feller,1,26,1,1948,1948
Richard E. Bilsborrow,1,26,1,1986,1986
J. Anson,1,26,1,2004,2004
Wolfgang Lutz,3,26,3,1987,2015
John Rogers,1,26,1,2005,2005
Sarah Zureick,1,26,1,2012,2012
Quanbao Jiang,1,26,1,2015,2015
Cheryl Chriss Sawyer,1,26,1,2012,2012
Monica J. Grant,3,26,2,2012,2020
Martin Piotrowski,2,26,2,2007,2012
Geoff Peter Garnett,1,26,1,1994,1994
Anders Brändström,1,26,1,2005,2005
Heidi A. Hanson,2,26,2,2015,2017
Li Bohua,2,26,2,1988,2010
Ken Robert Smith,2,26,2,2015,2017
Dora Kostova,1,26,1,2008,2008
Göran Broström,1,26,1,2005,2005
David A. May,1,26,1,1968,1968
Roberta Torre,1,25,1,2014,2014
Anna Klabunde,3,25,2,2017,2017
Philippe Fargues,3,25,2,1979,1990
Frans J.C. Willekens,3,25,2,2017,2017
Peter Anthony Lachenbruch,2,25,2,1967,1968
Germán Rodriguezt,1,25,1,1988,1988
Charles Wick Warren,2,25,2,1988,1992
Serhii Pyrozhkov,1,25,1,2002,2002
Rebecca Sear,3,25,2,2015,2019
Edward Ng,1,25,1,2014,2014
Paul Huck,1,25,1,1994,1994
Bilkis Vissandjée,1,25,1,2014,2014
Nikolai Botev,1,25,1,1990,1990
Serguei Adamets,1,25,1,2002,2002
Guido Alfani,2,25,2,2010,2019
Sandra González-Bailõn,1,25,1,2013,2013
Jacques Vallin,1,25,1,2002,2002
D. Walter Rasugu Omariba,1,25,1,2014,2014
Robert Schoen,2,25,2,1998,2005
Daniel D. Greenfield,1,25,1,1990,1990
Norman H. Carrier,1,25,1,1958,1958
Tommy E. Murphy,1,25,1,2013,2013
Guang Guo,1,24,1,1993,1993
Rachel M. Pierce,2,24,2,1961,1961
Noriko O. Tsuya,1,24,1,1991,1991
Bruno Masquelier,1,24,1,2014,2014
Andy Sloggett,1,24,1,2005,2005
John Ssekamatte-Ssebuliba,1,24,1,2005,2005
Stan J. Bernstein,1,24,1,1980,1980
Tapani Valkonen,1,24,1,2009,2009
Georges Reniers,2,24,1,2014,2020
Bertram Hutchinson,4,24,3,1957,1961
Celeste M. Smucker,1,24,1,1980,1980
Ghyasuddin Ahmed,1,24,1,1999,1999
John Blacker,1,24,1,2005,2005
Gilles Pison,1,24,1,2014,2014
Ma Linmao,1,24,1,2000,2000
Heta Moustgaard,1,24,1,2009,2009
George B. Simmons,1,24,1,1980,1980
Yu Wentao,1,24,1,2000,2000
Jakub Bijak,3,24,2,2016,2017
Lilach Lion Elmakias,1,24,1,2002,2002
Collins O. Opiyo,1,24,1,2005,2005
