fullname,Papers,Cites,H-Index,First,Last
William George Axinn,2,62,2,1993,1998
Jan M. Saarela,2,18,2,2005,2018
Helen Ware,2,19,2,1976,1977
Abdur Razzaque,2,114,2,1990,2008
Juho Härkönen,2,60,1,2008,2020
Alice Goisis,2,6,1,2018,2019
Abbas Uddin Bhuiya,2,77,2,1991,1997
Peter R. Uhlenberg,2,71,2,1969,1995
Heidi A. Hanson,2,26,2,2015,2017
Anna Baranowska-Rataj,2,10,1,2017,2020
Sanna L. Read,2,38,1,2011,2020
Laurence M. Grummer-Strawn,2,73,2,1992,1993
Zsolt Spéder,2,89,1,2006,2020
Neil H. Thomas,2,19,2,1991,1993
David A. Coleman,2,16,2,2015,2015
Roy Malcolm Anderson,2,83,2,1994,1999
Janet D. Griffith,2,55,2,1984,1985
Martin Bell,2,65,2,2000,2014
Gerḿan Rodríguez,2,103,2,1988,1992
Francine van de Walle,2,38,2,1975,1989
Tom A. Moultrie,2,113,2,2003,2012
Lincoln H. Day,2,43,2,1965,1968
Renzo Derosas,2,22,2,2009,2010
George C. Myers,2,16,2,1962,1966
David R. Weir,2,75,2,1990,1994
Alice Reid,2,33,2,2002,2020
Ken Robert Smith,2,26,2,2015,2017
Elina K. Nihtilä,2,110,2,2005,2007
Helen P. Koo,2,55,2,1984,1985
Ann Klimas Blanc,2,35,2,2017,2019
Jennifer A. Holland,2,21,2,2011,2017
Jacques Légaré,2,55,2,1990,1997
Mark J. VanLandingham,2,76,2,1992,2001
James W. Vaupel,2,59,1,1987,2004
Thomas Spoorenberg,2,7,1,2014,2019
Jennifer L. Glanville,2,137,2,2002,2007
Timothy B. Gage,2,27,2,1986,1993
Gavin W. Jones,2,27,2,1977,1980
Gösta Carlsson,2,149,2,1966,1970
Ruth B. Dixon,2,184,2,1971,1978
Milly Marston,2,75,1,2007,2020
Helga A.G. De Valk,2,31,2,2007,2017
Brienna Perelli-Harris,2,148,2,2005,2012
Robert V. Wells,2,67,2,1971,1992
Gordon F. de Jong,2,288,2,1991,2000
Guido Pinto Aguirre,2,29,2,1996,1998
Susan E. Short,2,58,2,2000,2004
Magali Barbieri,2,68,2,1996,2008
Enid J. Schatz,2,31,2,2009,2012
Donald W. Hastings,2,15,2,1971,1972
David Leon,2,20,2,2011,2014
Eric S. Richards,2,10,2,1997,1999
Anna Matysiak,2,67,2,2009,2014
Ian D. Diamond,2,93,2,1998,1999
Stan R. Becker,2,46,2,1986,2008
Cameron D. Campbell,2,111,2,1994,1995
Michael J. Levin,2,16,1,2013,2016
Brendan M. Walsh,2,40,2,1970,1995
Trude Lappegård,2,122,2,2010,2012
Alessandro Rosina,2,4,2,2006,2010
Dudley Kirk,2,348,2,1974,1996
Henriette Engelhardt,2,118,2,2004,2009
Alice Goldstein,2,80,2,1981,1997
Kristen Valencia,1,5,1,2017,2017
Chuang Ying-Chang,1,5,1,1994,1994
Bartosz Ogórek,1,0,0,2020,2020
Mats Lillehagen,1,5,1,2018,2018
Keith Hopkins,1,96,1,1966,1966
Mieke Carine Wim Eeckhaut,1,7,1,2016,2016
Nan E. Johnsoni,1,16,1,1985,1985
Liang Zhiwu,1,46,1,1994,1994
Barbara Janowltz,1,23,1,1984,1984
Florentina Reyes Salvail,1,54,1,1983,1983
Maria Sophia Lengyel Cook,1,8,1,1982,1982
Mary E. Cookingham,1,18,1,1984,1984
Jane Falkingham,1,4,1,1991,1991
Ugofilippo Basellini,1,7,1,2019,2019
James Leer,1,48,1,1995,1995
Morag Henderson,1,0,0,2019,2019
Abhishek Singh,1,42,1,2012,2012
Shiras Manning,1,5,1,2017,2017
Paola Molina,1,5,1,2017,2017
Yan Yu,1,0,0,2018,2018
Sylvia Blom,1,0,0,2020,2020
Maurice Kirk,1,1,1,1991,1991
Yu Wentao,1,24,1,2000,2000
Jonathan Gray,1,3,1,2017,2017
Jianke Li,1,21,1,2001,2001
Catriona A. Towriss,1,4,1,2018,2018
Daniel Christoph Schneider,1,6,1,2018,2018
Niels van den Berg,1,4,1,2020,2020
Lucia Zanotto,1,4,1,2018,2018
Dawn Everington,1,4,1,2018,2018
Paúl Corcuera,1,2,1,2017,2017
Lorenzo Gamboa,1,5,1,2017,2017
Kristin Klingman,1,5,1,2017,2017
Kylie Walzak,1,5,1,2017,2017
Yuan Y. Tien,1,35,1,1984,1984
Paul P.L. Cheung,1,3,1,1988,1988
Shuimeng Ng,1,10,1,1982,1982
Ting Li,1,8,1,2015,2015
Joseph Molitoris,1,18,1,2017,2017
Jan Walter De Neve,1,0,0,2020,2020
Vicente B. Paqueo,1,6,1,1988,1988
Nikkil Sudharsanan,1,0,0,2020,2020
Ian Timaeæust,1,14,1,1991,1991
John C. Caldwellt,1,59,1,1992,1992
Mauri Nieminent,1,9,1,1991,1991
Etienne Van de Walle,1,42,1,1989,1989
Arpita Chattopadhyay,1,52,1,2006,2006
Moni Nag,1,3,1,1973,1973
Hilary Page,1,5,1,2008,2008
Wendy Post,1,40,1,1997,1997
Edward B. Perrin,1,13,1,1964,1964
Jessica Godwin,1,1,1,2018,2018
Jed Friedman,1,52,1,2000,2000
Jennifer Lauby,1,143,1,1988,1988
Christian Dudel,1,2,1,2019,2019
Liu Li,1,46,1,1994,1994
Bert F. Hoselitz,1,2,1,1957,1957
Charles F. Westof,1,13,1,1980,1980
Roderic P. Beau Jot,1,2,1,1978,1978
Louise Kantrowt,1,12,1,1980,1980
Ismail Ajami,1,10,1,1976,1976
Helena Chojnackm,1,24,1,1980,1980
Ehn Hyun Choe,1,3,1,1982,1982
Grazyna Jasielqska,1,88,1,1993,1993
Bowman A. Jannetta,1,32,1,1991,1991
Germán Rodriguezt,1,25,1,1988,1988
Tom Warnke,1,9,1,2017,2017
Margaret Triyana,1,1,1,2016,2016
Han Lin Shang,1,5,1,2015,2015
Luca Stella,1,6,1,2019,2019
Grace Wyshak,1,11,1,2004,2004
Daniel Kraushaar,1,14,1,1992,1992
Feinian Chen,1,8,1,2009,2009
Nuala M. McGrath,1,75,1,2007,2007
Júlia Mikolai,1,12,1,2018,2018
Ferdinando Regalia,1,43,1,2007,2007
Naohiro Ogawa,1,47,1,1996,1996
Donald L. Eilenstine,1,5,1,1972,1972
Peter M. Blau,1,0,0,1962,1962
Wilma H. Smeenk,1,51,1,2001,2001
Esha Chatterjee,1,1,1,2020,2020
Guo Zhigang,1,14,1,1997,1997
Michal Engelman,1,18,1,2010,2010
Jessica D. Gipson,1,23,1,2009,2009
Timothy J. Halliday,1,37,1,2008,2008
